B_Height_cms,B_Weight_lbs,B_avg_LEG_att,B_avg_SIG_STR_pct,gender,B_avg_CLINCH_att,B_age,R_Weight_lbs,B_win_by_Submission,B_avg_TOTAL_STR_att,R_avg_opp_HEAD_landed,R_avg_opp_CTRL_time(seconds),B_avg_opp_TOTAL_STR_landed,B_win_by_TKO_Doctor_Stoppage,R_avg_LEG_landed,B_avg_opp_CTRL_time(seconds),B_avg_LEG_landed,B_avg_HEAD_att,B_avg_TOTAL_STR_landed,B_avg_opp_GROUND_landed,B_Reach_cms
167.64,145.0,14.5,0.485,1,16.0,28.0,135.0,0.0,189.5,21.1640625,129.9921875,77.0,0.0,2.234375,16.5,10.0,126.5,102.5,1.0,162.56
190.5,260.0,0.5,0.8300000000000001,1,0.0,30.0,175.0,1.0,14.5,1.5,0.0,7.0,0.0,1.0,0.0,0.0,6.0,13.5,0.0,195.58
182.88,155.0,3.0,0.55,1,1.0,28.0,155.0,0.0,10.0,13.875,299.375,50.0,0.0,3.625,188.0,2.0,6.0,6.0,3.0,185.42
193.04,205.0,0.0,0.59,1,14.0,35.0,205.0,1.0,56.0,34.53125,184.53125,17.0,0.0,3.21875,1.0,0.0,23.0,41.0,0.0,193.04
182.88,205.0,6.5,0.35,1,2.0,31.0,205.0,0.0,53.0,14.4375,67.5,31.375,0.0,4.875,0.0,5.0,38.16015625,27.7705078125,0.0,198.12
182.88,185.0,7.098876953125,0.35,1,4.75,26.0,185.0,0.0,76.625,26.671875,105.25,41.625,0.0,1.5,218.7314910888672,4.0,40.0,64.0,5.0,187.96
180.34,170.0,3.328125,0.5390625,1,2.0,25.0,170.0,3.0,19.046875,13.80712890625,153.033203125,27.484375,0.0,1.63134765625,116.953125,2.296875,10.53125,11.1875,7.265625,190.5
172.72,145.0,7.552644491195679,0.4719853711128234,1,10.869479894638062,35.0,145.0,2.0,88.77140855789185,14.46875,89.40625,53.01404619216919,0.0,7.6875,68.31263732910156,6.723623514175415,61.3988995552063,48.69337487220764,6.291593551635742,172.72
190.5,205.0,5.046066284179688,0.565,1,9.8360595703125,37.0,205.0,0.0,84.0,53.0,82.0,55.10697400569916,0.0,5.0,172.109375,4.0,42.0,50.0,1.5,193.04
172.72,155.0,7.53125,0.3834375,1,17.0625,28.0,170.0,0.0,97.96875,13.125,169.5625,30.53125,0.0,1.875,76.1875,5.6875,70.3125,40.0,1.625,182.88
180.34,170.0,7.094453811645508,0.46,1,9.0,26.0,170.0,0.0,161.0966796875,25.01171875,328.47265625,64.0,0.0,3.6015625,188.0,5.390625,43.125,118.40673828125,5.0,187.96
170.18,135.0,2.375,0.54875,1,0.75,31.0,135.0,0.0,64.125,8.0,0.0,63.9375,0.0,21.0,50.6875,2.3125,42.5,37.3125,1.8125,175.26
185.42,210.0,15.9375,0.471875,1,0.4375,38.0,221.0,3.0,49.5,16.25,0.0,10.6875,0.0,6.375,0.0,9.0625,20.8125,24.8125,0.375,187.96
177.8,155.0,12.046875,0.434296875,1,16.6484375,26.0,155.0,1.0,129.6015625,23.28125,287.90625,62.1484375,0.0,4.65625,177.96875,7.984375,82.2578125,66.75,4.8203125,172.72
185.42,205.0,1.25,0.5525,1,8.5,30.0,185.0,0.0,100.25,2.5,81.5,25.0,0.0,1.0,2.75,1.25,44.0,72.0,0.25,193.04
182.88,185.0,1.0,0.565,1,1.75,23.0,170.0,0.0,39.25,7.388427734375,85.3095703125,32.75,1.0,0.515625,103.0,1.0,26.5,25.75,1.0,177.8
180.34,155.0,1.0,0.45,1,4.75,33.0,155.0,0.0,50.6748046875,4.71875,163.84375,46.75,0.0,2.40625,31.875,0.5625,35.0,24.0625,5.0,185.42
182.88,170.0,14.0,0.4,1,2.0,23.0,170.0,0.0,128.0,23.6845703125,81.91796875,56.0,0.0,5.208984375,271.0,13.0,82.0,58.0,6.0,190.5
172.72,145.0,1.625,0.5,1,12.75,32.0,145.0,0.0,88.0,29.25,124.125,30.12701416015625,0.0,17.875,159.2445068359375,1.43817138671875,64.125,45.75,1.5,180.34
177.8,170.0,6.0,0.48,1,4.72222900390625,30.0,170.0,0.0,69.4111328125,28.015625,119.34375,47.3388671875,0.0,4.734375,141.953125,4.25,45.0,36.25,4.25,185.42
180.34,170.0,10.5,0.48,1,17.75,26.0,170.0,0.0,60.5,27.712554931640625,26.0,32.25,0.0,4.5234375,104.0,10.0,47.1328125,39.5,0.0,172.72
167.64,125.0,14.0,0.4125,0,4.75,33.0,125.0,1.0,128.0,47.0625,177.84375,46.25,0.0,6.5,82.5,11.75,75.5,66.0,0.0,175.26
175.26,145.0,21.125,0.3925,1,5.0,30.0,145.0,1.0,173.0,33.0,112.0,73.375,0.0,2.0,120.75,15.125,122.0,72.5,5.125,175.26
182.88,170.0,6.5,0.405,1,17.5,25.0,170.0,0.0,124.5,15.75,90.75,57.0,0.0,3.0,218.0,4.5,87.0,58.0,1.0,193.04
180.34,170.0,2.375,0.4525,1,6.0,31.0,185.0,2.0,70.0,2.0,22.0,56.6875,0.0,2.0,450.5,1.875,23.625,50.5625,15.0,172.72
175.26,155.0,3.9451904296875,0.4099116516113281,1,22.820541381835938,31.0,135.0,4.0,222.32701110839844,35.515625,45.7109375,67.04608154296875,1.0,5.796875,196.68418884277344,3.94439697265625,172.5241241455078,102.2179718017578,3.3944854736328125,177.8
182.88,155.0,8.0,0.5449999999999999,1,4.0,26.0,155.0,0.0,71.125,8.5,344.75,51.0,0.0,2.0,241.5,6.405754089355469,54.5,29.0625,5.5,193.04
180.34,170.0,4.0,0.5,1,7.0703125,31.0,170.0,0.0,83.07489013671875,31.670181274414062,109.3125,35.34375,0.0,4.6796875,253.0,4.0,38.85798263549805,60.5,8.25,185.42
170.18,135.0,14.25,0.4375,1,1.5,37.0,135.0,0.0,70.5,7.5,63.25,34.0,0.0,9.25,73.75,10.5,51.25,25.75,2.75,180.34
172.72,135.0,1.0,0.53,1,12.73828125,28.0,135.0,0.0,125.8125,26.04208374023437,63.5,58.75,0.0,0.5625,578.8801834322512,0.5,58.375,86.125,2.0,180.34
172.72,135.0,2.375,0.38125,1,3.0,29.0,135.0,3.0,158.625,15.125,44.375,68.75,0.0,7.3125,44.875,1.75,80.25,94.0,1.125,172.72
185.42,260.0,0.0,1.0,1,0.0,31.0,185.0,0.0,2.0,15.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,185.42
177.8,199.0,0.5,0.5,1,0.5,28.0,185.0,1.0,6.0,21.25,295.0,0.5,0.0,2.5,0.0,0.0,4.0,3.5,0.0,190.5
190.5,265.0,7.3125,0.4471875,1,2.375,34.0,263.0,0.0,68.3125,19.5625,47.625,47.5625,0.0,1.09375,226.84375,6.34375,52.09375,32.25,6.59375,208.28
172.72,145.0,0.5,0.4549999999999999,1,2.0,24.0,145.0,0.0,100.5,16.75,251.25,69.0,0.0,1.5,401.0,0.5,27.5,61.0,13.5,175.26
170.18,155.0,0.0,0.465,1,3.5,31.0,155.0,0.0,66.5,27.1640625,18.546875,46.0,0.0,9.53125,42.0,0.0,56.0,29.0,0.0,172.72
167.64,155.0,8.0,0.28,1,0.0,31.0,155.0,0.0,122.0,37.5,225.5,39.0,0.0,23.5,0.0,7.0,97.0,35.0,0.0,177.8
193.04,264.0,2.283203125,0.25107421875,1,2.1484375,37.0,263.0,0.0,14.7734375,33.45758056640625,66.1793212890625,20.982421875,0.0,2.552825927734375,32.916015625,1.939453125,6.86328125,8.49609375,8.62109375,208.28
175.26,155.0,4.0,0.455,1,4.5,24.0,135.0,0.0,104.0,2.0,25.0,18.5,0.0,4.0,57.0,3.5,90.0,43.5,2.0,182.88
182.88,205.0,6.75,0.44,1,18.66357421875,35.0,230.0,0.0,117.75,13.28125,187.1875,49.90625,0.0,9.96875,494.0,5.625,93.25,90.71875,10.25,193.04
