B_Height_cms,B_Weight_lbs,B_age,B_total_rounds_fought,R_Reach_cms,weight_class,B_longest_win_streak,R_age,R_Height_cms,R_Weight_lbs,R_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_avg_CTRL_time(seconds),B_avg_LEG_landed,B_current_win_streak,R_avg_DISTANCE_landed,B_Stance_Orthodox,R_avg_TD_pct,B_avg_SIG_STR_pct,R_avg_opp_BODY_att,B_Reach_cms
175.26,185.0,31.0,4.0,195.58,7,1.0,28.0,185.42,185.0,30.0,84.0,91.5,0.0,0.0,19.0,True,0.0,0.5864794921875001,3.0,185.42
167.64,145.0,28.0,6.0,172.72,3,2.0,33.0,172.72,135.0,254.3125,16.5,283.0,10.0,2.0,23.8125,True,0.338515625,0.485,16.390625,162.56
190.5,225.0,29.0,2.0,182.88,10,2.0,27.0,185.42,175.0,0.0,0.0,0.0,0.0,2.0,1.0,False,0.5,0.5864794921875001,0.0,182.88
182.88,155.0,28.0,1.0,185.42,5,1.0,26.0,187.96,155.0,165.75,188.0,0.0,2.0,1.0,25.75,False,0.2275,0.55,12.75,185.42
193.04,205.0,34.0,1.0,195.58,8,1.0,30.0,193.04,205.0,64.4375,1.0,156.0,0.0,1.0,26.84375,True,0.074375,0.5864794921875001,8.3125,182.88
182.88,205.0,31.0,0.0,195.58,8,0.0,28.0,187.96,205.0,104.125,94.5,99.75,3.625,0.0,18.25,False,0.25,0.4499999999999999,7.7141265869140625,182.88
182.88,185.0,26.0,0.0,187.96,7,0.0,33.0,185.42,185.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,182.88
180.34,170.0,25.0,12.0,187.96,6,2.0,35.0,182.88,170.0,21.380859375,116.953125,68.921875,2.296875,1.0,7.38916015625,True,0.0745361328125,0.5390625,9.986328125,190.5
172.72,145.0,34.0,24.0,177.8,4,4.0,26.0,172.72,145.0,75.71875,68.31263732910156,188.4655725955963,6.723623514175415,1.0,47.5,True,0.3203125,0.4719853711128234,8.0625,172.72
190.5,205.0,34.0,0.0,193.04,8,0.0,27.0,190.5,205.0,91.0,94.5,99.75,3.625,0.0,25.0,True,0.0,0.4499999999999999,15.0,193.04
172.72,155.0,28.0,15.0,180.34,5,2.0,25.0,177.8,170.0,69.0,76.1875,58.65625,5.6875,2.0,8.0,False,0.0,0.3834375,5.8125,182.88
180.34,170.0,26.0,0.0,180.34,6,0.0,27.0,175.26,170.0,151.27734375,94.5,99.75,3.625,0.0,32.53125,True,0.3979296875,0.4499999999999999,5.125,182.88
170.18,135.0,31.0,12.0,162.56,3,2.0,26.0,167.64,135.0,323.796875,50.6875,152.375,2.3125,0.0,47.5,False,0.28,0.54875,8.0,175.26
185.42,210.0,34.0,5.0,182.88,9,4.0,35.0,187.96,221.0,0.0,0.0,0.0,9.0625,3.0,9.875,True,0.0,0.471875,0.0,182.88
177.8,155.0,26.0,18.0,177.8,5,4.0,30.0,172.72,155.0,185.65625,177.96875,264.6875,7.984375,0.0,30.09375,True,0.3175,0.434296875,6.78125,172.72
185.42,205.0,30.0,5.0,190.5,8,3.0,28.0,185.42,185.0,235.0,2.75,224.25,1.25,3.0,7.5,True,0.640675048828125,0.5525,2.5,193.04
182.88,185.0,23.0,5.0,185.42,6,1.0,32.0,175.26,170.0,207.27685546875,103.0,199.25,1.0,1.0,1.690673828125,False,0.43857666015625,0.565,3.00244140625,177.8
180.34,155.0,33.0,0.0,185.42,5,0.0,26.0,187.96,155.0,100.4375,94.5,99.75,3.625,0.0,12.6875,True,0.139375,0.4499999999999999,6.4375,185.42
182.88,170.0,23.0,3.0,187.96,6,0.0,32.0,182.88,170.0,59.45263671875,271.0,101.0,11.0,0.0,14.0859375,True,0.2512890625,0.4,5.1435546875,190.5
172.72,145.0,32.0,0.0,175.26,4,0.0,25.0,175.26,145.0,91.625,94.5,99.75,3.625,0.0,45.5,True,0.0,0.4499999999999999,18.9375,180.34
177.8,170.0,30.0,0.0,185.42,6,0.0,31.0,187.96,170.0,198.84375,94.5,99.75,3.625,0.0,40.625,False,0.3278125,0.4499999999999999,18.9375,182.88
180.34,170.0,26.0,0.0,182.88,6,0.0,29.0,172.72,170.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,172.72
167.64,125.0,33.0,7.0,170.18,2,1.0,35.0,165.1,125.0,137.75,82.5,227.25,11.0,1.0,41.65625,True,0.3087499999999999,0.4125,16.5,175.26
175.26,145.0,30.0,12.0,190.5,4,1.0,26.0,180.34,145.0,87.0,120.75,212.375,11.0,0.0,47.5,False,0.640675048828125,0.3925,18.9375,175.26
182.88,170.0,25.0,5.0,185.42,6,0.0,26.0,185.42,170.0,70.75,218.0,178.0,4.5,0.0,26.5,True,0.6,0.405,11.75,193.04
180.34,170.0,31.0,12.0,177.8,6,2.0,23.0,182.88,185.0,222.5,275.8466796875,89.125,1.875,0.0,1.5,True,0.640675048828125,0.4525,0.5,172.72
175.26,155.0,31.0,24.0,172.72,5,3.0,28.0,167.64,135.0,79.6328125,196.68418884277344,65.18862915039062,3.94439697265625,3.0,41.6953125,True,0.129453125,0.4099116516113281,6.703125,177.8
182.88,155.0,26.0,0.0,180.34,6,0.0,25.0,182.88,155.0,104.125,94.5,99.75,3.625,0.0,18.25,False,0.25,0.4499999999999999,7.7141265869140625,193.04
180.34,170.0,31.0,0.0,180.34,6,0.0,32.0,177.8,170.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,182.88
170.18,135.0,34.0,7.0,180.34,3,2.0,26.0,170.18,135.0,323.796875,73.75,2.0,10.5,0.0,11.75,True,0.5,0.4375,9.75,180.34
172.72,135.0,28.0,0.0,167.64,3,0.0,28.0,165.1,135.0,104.125,94.5,99.75,3.625,0.0,18.25,False,0.25,0.4499999999999999,7.7141265869140625,180.34
172.72,135.0,29.0,11.0,172.72,3,2.0,24.0,172.72,135.0,323.796875,44.875,283.0,1.75,2.0,21.75,True,0.5475,0.38125,7.5,172.72
185.42,225.0,29.0,1.0,187.96,9,0.0,20.0,182.88,185.0,0.0,0.0,0.0,0.0,0.0,1.25,False,0.25,0.5864794921875001,2.125,182.88
177.8,199.0,29.0,2.0,182.88,8,2.0,25.0,177.8,185.0,104.125,0.0,0.0,0.0,2.0,18.25,False,0.25,0.5,7.7141265869140625,182.88
190.5,225.0,34.0,13.0,185.42,9,4.0,35.0,182.88,225.0,93.09375,226.84375,24.125,6.34375,3.0,9.4375,False,0.1328125,0.4471875,12.75,195.58
172.72,145.0,24.0,6.0,177.8,4,1.0,24.0,172.72,145.0,262.75,275.8466796875,283.0,0.5,0.0,16.5,True,0.5625,0.4549999999999999,6.5,175.26
170.18,155.0,31.0,4.0,180.34,5,1.0,32.0,172.72,155.0,8.3984375,42.0,20.5,0.0,1.0,38.703125,True,0.125,0.465,16.484375,172.72
167.64,155.0,31.0,3.0,172.72,5,0.0,31.0,172.72,155.0,15.0,0.0,0.0,7.0,0.0,47.5,True,0.0,0.28,18.9375,177.8
193.04,225.0,34.0,17.0,185.42,9,2.0,35.0,182.88,225.0,323.796875,32.916015625,14.306640625,1.939453125,0.0,17.02191162109375,True,0.4051296997070312,0.25107421875,17.134521484375,195.58
175.26,155.0,24.0,4.0,170.18,5,1.0,26.0,165.1,135.0,255.0,57.0,0.0,3.5,0.0,1.0,True,0.25,0.455,1.0,182.88
182.88,205.0,34.0,0.0,195.58,8,0.0,30.0,190.5,225.0,75.6875,94.5,99.75,3.625,0.0,7.375,True,0.25,0.4499999999999999,9.375,182.88
