weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_SIG_STR_att,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
5.0,52.0,32.5,61.0,69.0,20.5,4.5,3.5,28.5,0.0,172.72,155.0,144.125,116.0,171.51318359375,117.0,20.125,18.0,124.875,111.0,0.0,177.8,180.34,170.0,1.0,175.26
2.0,135.625,129.0,167.0,156.0,89.0,18.75,13.0,112.8337056040764,0.0,165.1,125.0,144.125,102.625,171.51318359375,115.25,20.125,19.1591796875,124.875,79.75,1.0,162.56,165.1,125.0,1.0,162.56
7.0,26.0,18.0,29.0,20.0,8.0,1.0,1.0,17.0,0.0,185.42,185.0,47.25,63.03125,51.5,78.1875,9.275390625,9.1875,34.9296875,51.0,0.0,185.42,182.88,170.0,1.0,193.04
8.0,54.0,73.375,64.5,134.625,65.75,6.375,5.375,50.875,1.0,190.5,205.0,144.125,90.0,171.51318359375,107.0,18.5,8.75,124.875,75.75,0.0,185.42,190.5,205.0,1.0,193.04
5.0,34.0,27.0,71.0,74.0,14.0,11.0,11.0,12.0,0.0,165.1,170.0,61.5,29.0,157.5,80.5,20.0,10.0,23.5,12.5,1.0,167.64,170.18000000000004,170.0,1.0,190.5
5.0,85.88469123840332,22.0,118.25,46.0,21.0,6.0,5.40625,24.0,0.0,172.72,155.0,68.55712890625,45.75,101.95655822753906,59.0,11.453125,8.46875,62.03125,41.0,0.0,172.72,175.26,155.0,1.0,180.34
7.0,36.625,58.9375,88.796875,97.015625,33.203125,14.5,11.21875,38.15625,2.0,182.88,185.0,111.5,69.0,162.5,95.0,9.5,7.5,91.5,56.5,0.0,182.88,187.96,185.0,1.0,187.96
8.0,30.3125,24.9375,67.8125,39.75,18.0,5.8125,2.6875,7.6875,3.0,190.5,185.0,42.125,38.75,53.75,43.875,0.625,0.75,30.375,35.375,0.0,185.42,193.04,185.0,1.0,190.5
5.0,49.5,41.5,84.0,64.0,31.75,3.375,2.6875,30.83984375,0.0,180.34,145.0,70.7666015625,101.98046875,99.7265625,153.04541015625,6.6875,14.5732421875,40.3759765625,72.5224609375,0.0,172.72,190.5,155.0,1.0,180.34
4.0,49.125,71.3125,77.0,67.74806213378906,37.0,14.00390625,7.5,54.734375,0.0,175.26,145.0,135.54052734375,140.75,139.01803588867188,165.0,20.125,16.380172729492188,124.52774429321288,122.688232421875,0.0,177.8,185.42,145.0,1.0,177.8
6.0,104.5,79.0,105.0,87.5,58.0,6.0,5.0,78.5,2.0,190.5,170.0,66.703125,91.3828125,109.33740234375,111.1875,4.87109375,7.4375,59.0,60.21875,0.0,177.8,177.8,170.0,1.0,195.58
5.0,98.3125,70.8125,118.4375,83.0,58.25,7.1875,5.0,64.9375,1.0,175.26,155.0,137.1875,119.875,141.1875,126.375,20.125,10.875,124.875,107.5625,1.0,177.8,185.42,155.0,1.0,180.34
2.0,54.0,60.5,83.75,76.0,45.0,4.75,2.0,40.859375,0.0,162.56,125.0,36.5,50.5,47.5,84.5,6.5,7.0,30.0,34.5,1.0,175.26,172.72,125.0,1.0,165.1
2.0,50.48046875,99.08984375,103.140625,136.4140625,71.41796875,11.00390625,6.23046875,77.17578125,1.0,167.64,125.0,83.7890625,86.3671875,126.9296875,122.796875,11.7421875,19.1591796875,61.1640625,78.171875,1.0,165.1,167.64,125.0,0.0,167.64
7.0,77.84375,39.234375,112.875,50.328125,31.453125,4.640625,3.625,29.796875,2.0,185.42,205.0,138.6171875,55.9765625,171.51318359375,83.78125,8.0234375,6.8203125,59.0703125,42.4375,0.0,185.42,185.42,205.0,1.0,187.96
4.0,129.6875,112.3125,143.125,120.125,96.9375,14.0625,8.625,97.25,2.0,167.64,145.0,33.568603515625,38.117431640625,34.93994140625,43.37255859375,0.73583984375,6.268310546875,17.623291015625,36.043212890625,4.0,167.64,167.64,145.0,1.0,180.34
0.0,52.0,35.0,68.0,40.0,23.0,11.0,8.0,14.0,0.0,170.18,140.0,13.25,21.0,21.5,26.0,2.0,0.75,7.75,15.25,0.0,177.8,180.34,145.0,1.0,172.72
3.0,86.0,54.0,130.0,55.0,45.0,4.0,1.0,47.0,0.0,170.18,135.0,132.625,88.5,137.375,96.875,20.125,6.0,124.875,80.5,0.0,162.56,180.34,135.0,1.0,177.8
9.0,56.0,58.0,58.0,73.0,46.375,4.578125,3.0,34.0,0.0,187.96,225.0,85.75,26.25,92.25,27.25,20.125,4.5,69.75,21.5,3.0,193.04,195.58,225.0,1.0,195.58
5.0,116.0,129.0,116.0,156.0,102.0,7.0,6.0,112.8337056040764,0.0,170.18,155.0,122.28515625,91.3828125,155.4765625,111.25,9.626953125,7.07421875,107.57421875,84.01171875,1.0,167.64,172.72,145.0,1.0,177.8
6.0,57.125,35.25,78.8125,66.375,28.5,2.125,1.375,28.125,3.0,182.88,170.0,57.3125,51.171875,88.875,95.78125,9.71875,8.078125,26.5625,28.796875,0.0,182.88,187.96,170.0,1.0,190.5
6.0,48.2421875,42.4921875,57.890625,47.953125,36.9296875,3.3203125,3.0,33.9609375,3.0,182.88,170.0,128.25,123.5,129.25,127.0,6.25,19.1591796875,109.0,116.5,1.0,180.34,190.5,170.0,1.0,193.04
8.0,21.0,6.0,37.0,7.0,5.0,0.0,0.0,5.0,0.0,187.96,183.0,32.875,8.9375,38.9375,13.0,2.4375,0.8125,22.9375,6.5,1.0,187.96,193.04,205.0,1.0,195.58
9.0,93.5,22.5,94.0,23.0,22.5,0.0,0.0,22.5,1.0,190.5,225.0,48.75,31.75,72.0,58.25,3.25,9.25,30.75,18.5,0.0,195.58,195.58,225.0,1.0,195.58
6.0,51.75,67.3125,103.0,86.125,56.625,8.21875,6.9375,52.875,0.0,187.96,170.0,7.4375,14.3125,17.75,20.0625,1.0,0.5625,3.0,6.125,0.0,182.88,185.42,170.0,1.0,187.96
8.0,63.70037841796875,69.4375,95.0,99.6171875,52.5,5.21875,3.0,61.59765625,0.0,180.34,205.0,54.375,27.28125,59.59375,28.109375,1.625,2.078125,28.203125,26.28125,3.0,187.96,195.58,185.0,1.0,180.34
10.0,65.90625,71.5,69.0,87.8046875,66.08349609375,7.0,5.0,65.375,0.0,182.88,200.0,76.0,47.15625,94.25,70.75,10.0,5.0,60.765625,25.0,0.0,193.04,193.04,225.0,1.0,190.5
4.0,58.0,31.0,129.0,74.0,22.0,3.0,2.0,16.0,0.0,167.64,135.0,123.0,92.0,139.0,141.0,7.0,3.0,96.0,88.0,0.0,167.64,167.64,145.0,1.0,170.18
3.0,98.25,109.3125,138.3125,148.625,62.9375,18.75,11.8125,93.5,2.0,175.26,135.0,123.671875,140.75,160.1640625,165.0,13.61328125,19.1591796875,103.44140625,122.688232421875,0.0,170.18,170.18,135.0,0.0,180.34
7.0,9.0,26.0,9.0,37.0,26.0,0.0,0.0,6.0,0.0,182.88,185.0,83.0,73.0,94.0,107.0,6.0,8.5,65.5,66.0,0.0,182.88,187.96,185.0,1.0,187.96
7.0,53.5,82.0,61.0,88.5,72.0,6.5,4.5,66.5,0.0,175.26,185.0,58.0,37.0,64.5,37.5,15.0,3.0,52.0,31.0,0.0,185.42,195.58,185.0,1.0,185.42
3.0,135.625,125.0,167.0,156.0,102.0,14.5,10.0,112.8337056040764,0.0,167.64,145.0,86.71875,103.109375,129.6640625,121.3203125,5.5546875,16.390625,79.421875,89.3828125,0.0,172.72,172.72,135.0,1.0,162.56
10.0,6.5,2.5,14.5,9.0,2.0,0.0,0.0,1.5,1.0,190.5,225.0,2.0,3.5,57.0,8.0,0.0,0.0,2.0,1.0,0.0,185.42,193.04,175.0,1.0,195.58
5.0,9.0,29.0,10.0,64.0,14.0,10.0,5.0,21.0,0.0,182.88,155.0,85.75,62.625,108.25,87.625,5.5,12.75,79.5,46.25,0.0,187.96,185.42,155.0,1.0,185.42
8.0,37.0,12.0,56.0,32.0,9.0,2.0,0.0,7.0,0.0,193.04,205.0,107.96875,134.53125,126.15625,149.53125,7.90625,8.3125,101.84375,116.625,0.0,193.04,195.58,205.0,1.0,193.04
8.0,77.0,73.0,99.265625,78.5,61.25,10.0,7.379150390625,60.35307243419811,0.0,182.88,205.0,77.0,133.0,107.875,150.125,8.817878723144531,11.7158203125,58.3125,115.1953125,0.0,187.96,195.58,205.0,1.0,185.42
7.0,111.921875,55.0,118.00140380859376,63.203125,53.0,16.6875,13.0,47.25,0.0,182.88,185.0,50.3173828125,59.0,69.0,73.5,3.546875,5.046875,41.25,64.0,0.0,185.42,187.96,185.0,1.0,185.42
6.0,15.828125,25.21875,19.046875,38.453125,17.578125,5.078125,2.65625,9.90625,0.0,180.34,170.0,26.10791015625,44.23779296875,43.9619140625,55.94677734375,2.9111328125,9.986328125,20.60205078125,23.02685546875,3.0,182.88,187.96,170.0,1.0,190.5
4.0,80.96832227706909,79.41253280639648,88.77140855789185,92.41377639770508,59.49166989326477,16.514463186264038,10.985095500946043,61.669612407684326,3.0,172.72,145.0,144.125,96.34375,150.96875,110.625,20.0,8.0625,124.875,92.96875,0.0,172.72,177.8,145.0,1.0,172.72
