weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_total_time_fought(seconds),B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
3.0,88.5,109.75,47.375,158.625,94.0,132.125,68.75,80.25,90.125,15.25,13.375,83.75,98.125,40.375,819.125,0.0,172.72,135.0,79.9375,2.0,172.72,172.72,135.0,1.0,172.72
9.0,63.1875,97.5625,30.34375,68.3125,32.25,119.09375,47.5625,52.09375,75.15625,8.90625,4.625,58.46875,84.3125,19.5,697.9375,4.0,190.5,205.0,64.890625,4.0,182.88,185.42,205.0,1.0,195.58
4.0,32.0,63.5,38.5,100.5,61.0,98.0,69.0,27.5,47.0,12.0,8.0,21.0,30.0,12.0,793.0,0.0,172.72,145.0,87.0,0.0,172.72,177.8,145.0,1.0,175.26
5.0,122.0,93.0,39.0,122.0,35.0,93.0,39.0,97.0,71.0,20.0,13.0,122.0,93.0,39.0,900.0,0.0,167.64,155.0,127.0,0.0,172.72,172.72,155.0,1.0,177.8
9.0,12.00390625,22.396484375,14.92578125,14.7734375,8.49609375,28.947265625,20.982421875,6.86328125,19.552734375,1.9765625,1.8046875,9.2265625,9.83203125,5.64453125,145.056640625,3.0,193.04,205.0,112.77821350097656,5.0,182.88,185.42,205.0,1.0,195.58
5.0,98.0,67.5,16.0,104.0,43.5,70.0,18.5,90.0,60.0,5.0,3.0,91.0,63.0,13.5,539.0,0.0,175.26,155.0,60.0,0.0,165.1,170.18,135.0,1.0,182.88
7.0,35.37109375,27.49609375,10.32421875,64.29296875,40.54296875,46.15625,28.02734375,28.2734375,24.44140625,1.7890625,1.44140625,21.8203125,17.42578125,2.78125,470.9296875,0.0,187.96,185.0,39.33157396316528,5.0,182.88,187.96,185.0,1.0,195.58
4.0,146.0,143.0,59.85095763206482,146.0,55.0,152.0,85.0,79.0,111.79295480251312,17.0,13.9281005859375,131.0,123.0,47.5,900.0,0.0,175.26,145.0,126.5625,3.0,177.8,177.8,145.0,1.0,175.26
8.0,44.5516357421875,30.2777099609375,9.08447265625,66.06134033203125,46.733642578125,33.74566650390625,12.52117919921875,32.62933349609375,28.4974365234375,0.73876953125,0.679931640625,14.7696533203125,23.5797119140625,5.6351318359375,548.6865844726562,4.0,185.42,205.0,60.236328125,5.0,187.96,193.04,205.0,1.0,190.5
7.0,63.5,60.5,13.5,67.0,29.5,68.0,19.5,60.0,53.0,4.5,2.0,52.0,46.0,8.0,472.0,0.0,187.96,185.0,55.0,1.0,187.96,190.5,170.0,1.0,195.58
8.0,118.15625,93.296875,26.453125,120.3125,56.796875,94.265625,27.390625,87.828125,83.40625,5.53125,4.0,112.125,86.171875,21.34375,603.5,2.0,187.96,185.0,132.75,1.0,180.34,187.96,205.0,1.0,193.04
2.0,95.1484375,67.6328125,25.109375,177.611328125,96.509765625,113.15625,62.84375,79.140625,55.1640625,6.9296875,4.9921875,66.7734375,56.1484375,16.6171875,883.9609375,2.0,165.1,125.0,167.71875,0.0,162.56,162.56,125.0,1.0,165.1
6.0,63.75,63.875,29.5,83.75,43.25,84.25,47.375,47.625,45.25,4.375,2.375,61.625,53.0,21.625,538.5,0.0,180.34,170.0,68.8741683959961,5.0,182.88,187.96,170.0,1.0,182.88
