B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
64.828125,97.015625,22.609375,24.859375,283.0,174.203125,751.921875,15.0,182.88,187.96,29.0,74.0,33.0,56.5,1.0,271.5,157.5,856.5,182.88,187.96
50.1875,39.75,24.0,5.0625,141.0625,226.3125,441.6875,8.0,190.5,190.5,12.125,31.625,14.25,35.375,0.625,80.5,7.625,315.625,185.42,193.04
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,180.34,180.34,40.47900390625,49.45556640625,12.86767578125,72.5224609375,5.01171875,323.796875,156.99462890625,868.38818359375,172.72,190.5
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,175.26,177.8,57.5,109.80496978759766,47.5,122.1015625,5.36749267578125,47.58990859985352,144.64298629760742,856.373176574707,177.8,185.42
44.5,87.5,90.0,97.0,7.5,32.0,389.0,3.0,190.5,195.58,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,177.8,177.8
59.4375,83.0,74.875,70.875,274.1875,73.375,824.0,13.0,175.26,180.34,39.8125,97.125,46.0625,107.5625,7.6875,80.0625,96.1875,771.375,177.8,185.42
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,162.56,165.1,25.5,26.5,12.0,34.5,7.5,1.0,276.0,512.0,175.26,182.88
81.0546875,136.4140625,30.390625,36.90625,283.0,142.578125,896.1953125,24.0,167.64,167.64,28.328125,60.5859375,25.734375,78.171875,0.28125,323.796875,32.09375,757.65625,165.1,167.64
69.8125,50.328125,58.171875,50.109375,125.765625,107.453125,539.578125,16.0,185.42,187.96,21.3125,112.8515625,17.2734375,42.4375,9.5859375,323.796875,33.2890625,900.0,185.42,185.42
87.625,120.125,105.0,76.375,283.0,46.125,794.625,13.0,167.64,180.34,14.971435546875,28.70458984375,7.33203125,36.043212890625,1.72021484375,65.807861328125,2.9853515625,274.90283203125,167.64,167.64
