weight_class,B_Height_cms,B_Weight_lbs,R_Height_cms,R_Weight_lbs,B_Reach_cms
5.0,5.817944146267096,5.602118820879701,5.84035091743822,5.602118820879701,5.825468992912801
6.0,5.810362246718757,5.655991810819852,5.825468992912801,5.655991810819852,5.84035091743822
4.0,5.78726541179471,5.564520407322694,5.795023781753144,5.564520407322694,5.78726541179471
5.0,5.78726541179471,5.602118820879701,5.810362246718757,5.655991810819852,5.817944146267096
3.0,5.779446378577191,5.5254529391317835,5.779446378577191,5.5254529391317835,5.795023781753144
5.0,5.8027224225111045,5.602118820879701,5.795023781753144,5.602118820879701,5.78726541179471
8.0,5.825468992912801,5.771441123130016,5.832937638879745,5.707110264748875,5.847709643462844
6.0,5.817944146267096,5.707110264748875,5.8027224225111045,5.655991810819852,5.8027224225111045
6.0,5.817944146267096,5.655991810819852,5.825468992912801,5.655991810819852,5.84035091743822
2.0,5.771565725958661,5.484796933490655,5.771565725958661,5.484796933490655,5.795023781753144
4.0,5.795023781753144,5.564520407322694,5.817944146267096,5.564520407322694,5.795023781753144
6.0,5.817944146267096,5.655991810819852,5.832937638879745,5.655991810819852,5.847709643462844
6.0,5.810362246718757,5.655991810819852,5.825468992912801,5.707110264748875,5.78726541179471
5.0,5.795023781753144,5.602118820879701,5.779446378577191,5.5254529391317835,5.8027224225111045
3.0,5.779446378577191,5.5254529391317835,5.78726541179471,5.5254529391317835,5.810362246718757
3.0,5.78726541179471,5.5254529391317835,5.795023781753144,5.5254529391317835,5.78726541179471
9.0,5.84035091743822,5.942799375126701,5.825468992912801,5.937536205082426,5.89075984298635
4.0,5.78726541179471,5.564520407322694,5.795023781753144,5.564520407322694,5.795023781753144
5.0,5.771565725958661,5.602118820879701,5.795023781753144,5.602118820879701,5.8027224225111045
9.0,5.847709643462844,5.940171252720432,5.825468992912801,5.937536205082426,5.89075984298635
5.0,5.795023781753144,5.602118820879701,5.771565725958661,5.5254529391317835,5.817944146267096
7.0,5.832937638879745,5.707110264748875,5.825468992912801,5.707110264748875,5.8694663902971325
4.0,5.795023781753144,5.564520407322694,5.810362246718757,5.564520407322694,5.795023781753144
8.0,5.825468992912801,5.771441123130016,5.84035091743822,5.771441123130016,5.84035091743822
7.0,5.832937638879745,5.707110264748875,5.84035091743822,5.655991810819852,5.855014613970084
8.0,5.832937638879745,5.707110264748875,5.817944146267096,5.771441123130016,5.847709643462844
2.0,5.763622475012218,5.484796933490655,5.763622475012218,5.484796933490655,5.763622475012218
6.0,5.810362246718757,5.655991810819852,5.825468992912801,5.655991810819852,5.817944146267096
7.0,5.810362246718757,5.707110264748875,5.817944146267096,5.771441123130016,5.825468992912801
3.0,5.78726541179471,5.5254529391317835,5.771565725958661,5.5254529391317835,5.810362246718757
6.0,5.810362246718757,5.655991810819852,5.825468992912801,5.655991810819852,5.84035091743822
8.0,5.84035091743822,5.771441123130016,5.847709643462844,5.771441123130016,5.855014613970084
2.0,5.771565725958661,5.484796933490655,5.763622475012218,5.5254529391317835,5.795023781753144
4.0,5.795023781753144,5.564520407322694,5.817944146267096,5.564520407322694,5.8027224225111045
9.0,5.897758080667674,5.942799375126701,5.855014613970084,5.940171252720432,5.9047076831817
0.0,5.825468992912801,5.564520407322694,5.84035091743822,5.564520407322694,5.832937638879745
5.0,5.78726541179471,5.602118820879701,5.817944146267096,5.602118820879701,5.8027224225111045
9.0,5.8622666086363004,5.916202062607435,5.855014613970084,5.849324779946859,5.8694663902971325
6.0,5.817944146267096,5.707110264748875,5.832937638879745,5.602118820879701,5.832937638879745
9.0,5.847709643462844,5.942799375126701,5.825468992912801,5.8944028342648505,5.8766147054290405
3.0,5.779446378577191,5.5254529391317835,5.78726541179471,5.5254529391317835,5.763622475012218
5.0,5.810362246718757,5.602118820879701,5.817944146267096,5.602118820879701,5.825468992912801
6.0,5.795023781753144,5.707110264748875,5.8027224225111045,5.707110264748875,5.810362246718757
7.0,5.817944146267096,5.707110264748875,5.817944146267096,5.707110264748875,5.8694663902971325
