B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_pct,R_age,B_avg_CTRL_time(seconds),B_avg_opp_SIG_STR_pct,B_avg_HEAD_att,B_avg_opp_LEG_att,B_age,B_avg_DISTANCE_att,R_losses,R_avg_opp_HEAD_landed,R_avg_opp_LEG_att,R_avg_LEG_att,B_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_BODY_landed,R_avg_SUB_ATT,R_avg_opp_DISTANCE_att,R_avg_BODY_landed,R_avg_opp_CTRL_time(seconds),Winner
0.0,0.223125,31.0,290.0,0.0,20.0,1.0,35.0,1.0,1.0,1.8125,0.625,8.6875,18.0,2.8125,0.75,0.0,6.5,2.125,40.75,Red
24.5,0.5525,26.0,2.5,0.155,88.0,0.0,27.0,87.0,1.0,7.75,3.25,0.5,2.0,5.5,8.25,0.5,18.5,2.75,65.75,Blue
10.0,0.58,28.0,329.8321228027344,0.54,38.25,1.4949951171875,25.0,48.75,3.0,8.5,0.5,0.5625,9.5,2.0,0.5625,0.0625,6.125,0.8125,96.1875,Red
16.0,0.445,30.0,113.625,0.3,53.0,5.0,29.0,44.0,3.0,8.53125,2.46875,1.6875,15.013671875,12.390625,1.796875,0.0,26.28125,1.3125,3.109375,Blue
17.75,0.344376220703125,29.0,105.0,0.53,42.5,4.0,28.0,60.0,0.0,5.0,2.5,9.115234375,0.0,3.8125,4.04833984375,0.001983642578125,25.0,5.7890625,123.609375,Red
16.0,0.19,26.0,329.8321228027344,0.48,28.0,6.0,26.0,28.0,0.0,15.0,1.0,14.0,18.875,14.0,2.0,0.0,88.0,4.0,32.0,Red
30.8125,0.428984375,30.0,42.5625,0.4137499999999999,60.9375,14.1796875,34.0,74.0625,3.0,37.7607421875,14.67218017578125,5.3984375,0.5,4.4296875,13.15216064453125,0.92578125,122.688232421875,10.39453125,268.83984375,Blue
1.0,0.33,27.0,0.0,0.59,7.0,0.0,30.0,9.0,0.0,10.5,12.5,15.5,0.0,6.0,5.5,1.25,66.0,4.0,55.0,Red
21.5,0.26,28.0,91.5,0.365,40.5,3.5,31.0,52.0,0.0,12.5,3.5,1.0,0.5,2.0,3.0,0.5,31.0,7.0,2.0,Red
45.5,0.430859375,33.0,289.5,0.36,109.0,6.5,28.0,117.5,2.0,21.1640625,10.8984375,3.0234375,18.875,0.078125,11.5859375,0.1875,89.3828125,2.8671875,129.9921875,Blue
0.0,0.21,27.0,0.0,0.415,6.0,0.5,30.0,0.5,0.0,1.5,0.5,2.0,6.0,0.0,0.0,1.25,1.0,0.0,0.0,Red
4.0,0.4375,26.0,0.0,0.51,6.0,5.0,28.0,7.0,1.0,13.875,9.375,3.875,1.0,2.375,8.25,0.125,46.25,3.875,298.80078125,Red
1.0,0.458125,30.0,156.0,0.33,23.0,1.0,35.0,4.0,3.0,34.53125,14.67218017578125,5.375,18.875,1.4375,6.875,0.78125,116.625,4.34375,184.53125,Red
23.75,0.44544189453125,28.0,44.19140625,0.48375,55.5,6.0,31.0,67.0625,0.0,37.7607421875,7.531662225723267,3.75,1.125,9.4169921875,9.25,1.0,115.1953125,8.0,298.80078125,Red
45.5,0.38125,33.0,109.46875,0.2905682373046875,79.5,2.0,26.0,102.5,0.0,18.5,3.627410888671875,1.796875,6.031687736511231,11.984375,4.341274261474609,0.0,64.0,2.25,190.0,Red
4.171875,0.5255371093750001,35.0,68.921875,0.5723437499999999,10.53125,2.5625,25.0,10.609375,4.0,13.80712890625,3.04248046875,1.66455078125,3.21875,1.46142578125,7.01416015625,0.51953125,23.02685546875,1.68701171875,153.033203125,Red
26.666768074035645,0.2653125,26.0,188.4655725955963,0.5510502123832703,61.3988995552063,3.406399726867676,35.0,62.43014979362488,0.0,14.46875,9.6875,11.875,7.668692588806152,1.78125,3.34375,0.21875,92.96875,13.875,89.40625,Red
25.75,0.58,27.0,329.8321228027344,0.47,82.0,8.71875,35.0,84.8013916015625,0.0,37.7607421875,0.0,5.0,1.0,14.0,13.0,0.0,73.0,13.875,82.0,Red
23.8125,0.348125,25.0,58.65625,0.40375,70.3125,5.96875,28.0,74.0,2.0,13.125,4.875,2.3125,1.34375,9.5,4.375,1.25,22.0625,3.6875,169.5625,Blue
24.5,0.327265625,27.0,145.25,0.345,76.47265625,2.515625,26.0,86.25,3.0,25.01171875,1.95703125,4.1796875,4.277587890625,2.828125,3.15625,1.109375,83.00390625,13.875,298.80078125,Red
20.25,0.21,26.0,152.375,0.430625,42.5,12.625,31.0,45.125,0.0,8.0,1.0,15.9783935546875,8.0,14.0,5.0,0.0,60.0,8.0,0.0,Red
10.9375,0.405,35.0,0.0,0.278125,20.8125,8.3125,35.0,33.0625,2.0,16.25,0.0,6.625,3.375,3.375,0.0,1.125,10.75,1.375,0.0,Red
24.328125,0.3253125,30.0,264.6875,0.3003125,82.2578125,6.1875,26.0,61.8515625,3.0,23.28125,6.3125,4.84375,18.875,9.34375,4.46875,0.34375,75.65625,7.4375,287.90625,Blue
9.25,0.415,28.0,224.25,0.3825,44.0,7.25,30.0,24.25,0.0,2.5,3.0,1.25,13.75,14.0,2.25,1.0,10.25,7.0,81.5,Red
1.25,0.51845703125,32.0,199.25,0.4674999999999999,26.5,1.25,23.0,3.5,2.0,7.388427734375,0.001953125,0.515625,18.875,7.05126953125,2.87744140625,1.2080078125,6.66552734375,2.072021484375,85.3095703125,Red
16.0625,0.5118750000000001,26.0,251.125,0.52,33.25,10.0,33.0,45.0,2.0,4.71875,3.34375,2.46875,8.0,4.34375,4.8125,0.78125,22.3125,2.71875,163.84375,Draw
42.0,0.4791552734375,32.0,101.0,0.51,82.0,2.0,23.0,107.0,5.0,23.6845703125,6.2958984375,8.091796875,6.0,1.0205078125,4.5908203125,0.228515625,52.85693359375,5.31396484375,81.91796875,Red
14.71875,0.37,25.0,45.97802734375,0.5,43.625,6.0,32.0,47.0,3.0,29.25,5.375,15.9783935546875,2.0,6.25,13.15216064453125,1.25,122.688232421875,13.375,124.125,Red
18.922045528888702,0.47984375,31.0,329.8321228027344,0.41171875,49.4833984375,4.0,30.0,40.0,3.0,28.015625,14.67218017578125,5.96875,13.9375,0.109375,13.15216064453125,1.25,100.453125,7.890625,119.34375,Red
26.0,0.465,28.0,15.0,0.4975065612792968,75.671875,7.0,26.0,83.5,0.0,21.5,0.0,5.5,2.0,2.21875,8.5,0.0,33.0,4.5,0.0,Red
27.25,0.355,35.0,227.25,0.245,75.5,8.0,33.0,84.25,4.0,37.7607421875,12.125,9.09375,6.5,5.46875,10.0,0.0,122.688232421875,7.46875,177.84375,Red
45.5,0.28,26.0,212.375,0.46625,109.0,12.875,30.0,117.5,0.0,33.0,13.0,2.0,7.5,13.0,13.15216064453125,0.0,122.688232421875,9.0,112.0,Red
