R_avg_opp_DISTANCE_landed,R_age,R_avg_opp_SIG_STR_pct,B_avg_DISTANCE_landed,R_avg_opp_CLINCH_att,B_avg_opp_LEG_landed,B_avg_BODY_landed,B_avg_opp_BODY_landed,B_avg_GROUND_att,R_avg_opp_HEAD_landed,B_avg_opp_CTRL_time(seconds),R_avg_GROUND_landed,R_avg_opp_BODY_att,R_avg_CLINCH_att,R_avg_HEAD_landed,B_avg_CLINCH_att,B_age,R_avg_TD_landed,B_avg_BODY_att,R_avg_TOTAL_STR_landed,Winner
22.34375,31.0,0.243984375,17.26171875,7.71875,13.44140625,7.29296875,6.23046875,9.3828125,4.8984375,142.578125,13.5390625,23.296875,7.8359375,28.4296875,4.19140625,35.0,2.6484375,9.84765625,86.3125,Red
11.2421875,34.0,0.436484375,20.171875,1.171875,1.78125,6.0,3.625,20.46875,15.7890625,107.453125,45.5546875,6.8203125,7.46875,48.5703125,7.265625,31.0,3.7890625,7.671875,242.1953125,Red
13.1796875,33.0,0.3290087890625,49.5,0.19775390625,1.0625,10.0625,8.625,34.25,9.270263671875,46.125,10.701904296875,6.268310546875,1.09619140625,15.422119140625,19.0625,30.0,0.666259765625,11.625,19.937744140625,Blue
5.0,25.0,0.5425,9.0,3.0,1.0,19.0,8.0,4.0,5.75,393.0,3.75,0.75,0.5,5.25,25.0,28.0,0.75,20.0,14.5,Blue
37.0,29.0,0.51625,13.0,3.25,4.0,3.0,1.0,26.0,36.25,90.0,0.25,6.0,4.875,26.0,14.0,27.0,0.125,3.0,51.375,Blue
10.25,25.0,0.47,24.0,4.75,9.25,13.0,3.9818649291992174,7.109375,6.75,142.015625,1.5,4.5,14.25,17.5,2.25,33.0,0.0,13.5,46.25,Red
22.9609375,26.0,0.29169921875,20.0,6.619140625,5.0,9.0,6.0,0.0,17.0078125,105.0,5.138671875,7.07421875,5.103515625,24.7734375,1.0,31.0,0.25,28.0,74.912109375,Blue
6.96875,33.0,0.43359375,14.625,16.234375,3.0625,8.125,1.375,18.0625,9.40625,249.25,15.734375,8.078125,4.515625,21.78125,11.625,29.0,5.609375,9.375,60.375,Red
37.0,28.0,0.3175,14.4609375,7.0,1.734375,2.6328125,3.0,5.0625,23.25,80.5078125,4.25,21.75,11.75,47.25,6.015625,29.0,0.0,6.71875,54.75,Red
2.0,31.0,0.223125,0.0,2.375,0.0,1.0,0.0,18.0,1.8125,12.0,2.8125,0.8125,6.625,8.6875,2.0,35.0,0.125,1.0,23.0625,Red
6.25,26.0,0.5525,24.5,7.0,0.0,3.5,0.0,2.0,7.75,1.5,5.5,9.25,8.75,19.5,4.5,27.0,1.75,5.0,39.5,Blue
3.375,28.0,0.6525,16.5,0.875,1.0,7.25,11.25,33.5,8.5,509.0,2.0,0.5625,0.6875,2.1875,7.0625,25.0,1.25,7.4375,12.3125,Red
11.484375,30.0,0.445,3.5,0.5,8.560546875,2.96875,5.25,18.0,8.53125,152.66015625,12.390625,2.078125,0.96875,19.96875,3.890625,29.0,0.015625,3.5,25.6875,Blue
22.084190368652344,20.0,0.25,16.0,9.75,11.291259765625,7.5,10.85498046875,10.2415189743042,14.533203125,220.125,4.125,13.25,5.0,21.21075439453125,14.0,27.0,1.0,10.125,48.15625,Red
15.0,26.0,0.19,16.0,4.0,6.0,10.0,2.0,24.0,15.0,217.0,17.0,3.0,1.0,39.0,6.0,26.0,4.0,17.0,67.0,Red
56.37109375,30.0,0.428984375,30.8125,18.22265625,20.5625,20.75,11.8125,0.5,42.60546875,307.6875,4.4296875,33.70703125,14.4609375,38.9453125,23.6875,34.0,1.20703125,24.25,86.28515625,Blue
21.5,27.0,0.33,1.0,3.0,0.0,0.0,0.0,0.0,10.5,150.0,6.0,8.5,7.5,21.5,0.0,30.0,3.5,0.0,49.0,Red
16.0,28.0,0.26,21.5,6.0,3.5,7.5,4.5,0.5,12.5,84.0,2.0,3.0,1.5,15.0,1.0,31.0,0.0,13.0,24.5,Red
33.1484375,33.0,0.430859375,51.0,10.859375,5.0,16.5,10.0,27.5,21.1640625,16.5,0.078125,16.390625,7.1875,22.1484375,16.0,28.0,2.046875,23.0,65.1875,Blue
0.0,27.0,0.21,0.0,0.0,0.5,0.0,0.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.5,0.0,55.0,Red
16.5,26.0,0.4375,4.0,5.375,4.0,0.0,5.0,1.0,13.875,188.0,2.375,12.75,3.125,22.875,1.0,28.0,0.75,0.0,51.25,Red
45.90625,30.0,0.458125,1.0,11.625,1.0,10.0,0.0,19.0,34.53125,1.0,1.4375,8.3125,3.90625,23.3125,14.0,35.0,0.34375,14.0,48.15625,Red
27.15625,28.0,0.3,20.0,0.0,6.171875,3.875,6.0,12.5,14.4375,0.0,1.75,11.025390625,1.0,33.205078125,2.0,31.0,1.25,5.0,27.0,Red
23.5,33.0,0.36765625,20.0,6.75,6.212711334228516,2.5,4.0,32.125,26.671875,218.7314910888672,1.9296875,5.25,1.76953125,27.15216064453125,4.75,26.0,1.0,3.0,50.0,Red
9.02294921875,38.0,0.5255371093750001,4.171875,9.20361328125,2.28125,1.828125,2.65625,3.21875,13.80712890625,116.953125,1.46142578125,9.986328125,3.52978515625,8.14013671875,2.0,25.0,0.1220703125,1.96875,27.12841796875,Red
22.59375,26.0,0.2653125,26.666768074035645,2.0625,3.233538627624512,9.096187114715576,10.985095500946043,7.668692588806152,14.46875,68.31263732910156,1.78125,8.0625,1.40625,42.8125,10.869479894638062,35.0,0.84375,12.016778230667114,72.96875,Red
46.0,27.0,0.68,15.625,17.0,5.5,1.5,1.0,1.0,53.0,172.109375,31.0,15.0,39.0,55.0,9.8360595703125,37.0,0.0,11.1806640625,97.0,Red
7.3125,25.0,0.348125,23.8125,6.625,5.5,8.8125,4.0625,1.34375,13.125,76.1875,9.5,5.8125,5.25,16.4375,17.0625,28.0,0.0,14.5625,30.8125,Blue
21.30078125,27.0,0.327265625,16.453125,13.40625,3.7255859375,6.5,2.6875,7.0,25.01171875,188.0,2.828125,5.125,23.84375,28.8125,9.0,26.0,1.80859375,11.5,74.015625,Red
13.0,26.0,0.21,20.25,3.0,9.6875,7.25,6.25,8.0,8.0,50.6875,21.0,8.0,0.0,42.0,0.75,31.0,2.0,9.0,117.0,Red
2.375,37.0,0.405,10.9375,1.375,3.0,0.125,0.5,3.375,16.25,0.0,3.375,0.0,2.125,7.375,0.4375,38.0,0.0,0.125,32.375,Red
16.5625,30.0,0.3253125,24.328125,16.09375,4.0546875,5.4296875,9.34375,24.0,23.28125,177.96875,9.34375,6.78125,9.78125,32.03125,16.6484375,26.0,1.625,8.1953125,119.5,Blue
2.75,28.0,0.415,9.25,4.5,5.5,0.75,3.25,13.75,2.5,2.75,20.25,2.5,7.0,25.0,8.5,30.0,1.5,1.25,63.75,Red
1.491455078125,32.0,0.51845703125,1.25,4.33544921875,0.75,0.75,0.25,23.75,7.388427734375,103.0,7.05126953125,3.00244140625,1.696533203125,7.72509765625,1.75,23.0,1.531494140625,1.5,16.707763671875,Red
7.125,26.0,0.5118750000000001,15.875,3.09375,7.5,2.25,2.5,2.0,4.71875,31.875,4.34375,6.4375,1.28125,12.96875,4.75,33.0,0.4375,4.5,29.8125,Draw
24.443359375,32.0,0.4791552734375,42.0,5.470703125,2.0,10.0,5.0,6.0,23.6845703125,271.0,1.0205078125,5.1435546875,1.2021484375,5.43603515625,2.0,23.0,0.81640625,19.0,18.85546875,Red
42.625,25.0,0.37,14.0,3.125,5.8125,5.0,5.0,8.78125,29.25,159.2445068359375,6.25,26.0,1.375,21.125,12.75,32.0,0.0,6.5,66.5,Red
47.0625,31.0,0.47984375,16.0,7.265625,7.0234375,4.5,8.0,1.0,28.015625,141.953125,0.109375,23.96875,3.4375,30.40625,4.72222900390625,30.0,1.265625,7.0,49.125,Red
35.0,30.0,0.60375,16.158203125,3.0,9.75,5.75,3.375,9.2373046875,27.712554931640625,104.0,4.125,9.0,12.049850821495056,22.5,17.75,26.0,0.375,8.640625,40.0,Red
59.09375,36.0,0.355,27.25,4.28125,6.75,4.25,10.5,6.5,47.0625,82.5,5.46875,16.5,6.09375,38.90625,4.75,33.0,0.75,6.0,85.5,Red
49.0,26.0,0.28,55.75,19.0,11.875,8.5,6.25,7.5,33.0,120.75,13.0,27.0,12.0,62.0,5.0,30.0,1.0,16.75,87.0,Red
17.75,26.0,0.4475,33.0,6.0,9.0,11.0,16.5,1.0,15.75,218.0,2.0,11.75,8.0,14.25,17.5,25.0,1.5,17.0,43.5,Red
2.0,23.0,0.565,6.6875,2.0,2.125,3.4375,2.3125,2.75,2.0,450.5,14.0,0.5,2.5,14.0,6.0,31.0,1.5,4.5,25.5,Red
37.4765625,28.0,0.2378125,46.07496643066406,10.828125,6.0208282470703125,6.715988159179688,10.111663818359377,7.709396362304687,35.515625,196.68418884277344,7.6875,6.703125,7.828125,34.7265625,22.820541381835938,31.0,1.46875,8.536666870117188,62.3828125,Red
10.65234375,25.0,0.31875,27.412109375,3.703125,2.0,4.5,1.0,13.0,8.5,241.5,2.0,6.0,4.5,40.58126831054688,4.0,26.0,3.0,7.0,56.10321044921875,Red
36.0,32.0,0.4558927154541016,10.5,1.5,2.5,7.5,9.5,5.96875,31.670181274414062,253.0,2.0,9.0,3.0,24.525607109069824,7.0703125,31.0,2.0,7.5,49.7734375,Red
7.75,26.0,0.3125,23.75,10.5,5.75,3.25,3.5,0.0,7.5,73.75,12.5,9.75,23.75,19.5,1.5,37.0,3.25,4.25,86.5,Red
27.0,28.0,0.3668164587020874,21.5075912475586,13.44140625,4.45452880859375,9.625,4.109375,12.5,26.04208374023437,578.8801834322512,1.0,22.5,3.25,12.375,12.73828125,28.0,0.5,17.625,48.5,Red
17.25,24.0,0.341875,32.0,6.75,4.375,3.875,13.375,1.75,15.125,44.875,10.5625,7.5,13.25,20.5625,3.0,29.0,4.75,5.875,82.625,Blue
